run_id,dataset,split,regime,seed,step,stream,T2V_R1,T2V_R5,T2V_R10,V2T_R1,V2T_R5,V2T_R10
seds-continuation-control-001,PH,dev,adapted_SEDS,42,0,fusion,76.49325626204238,92.8709055876686,96.14643545279384,78.61271676300578,93.0635838150289,95.37572254335261
seds-continuation-control-001,PH,dev,adapted_SEDS,42,0,pose,61.078998073217726,86.51252408477842,91.71483622350675,59.92292870905588,84.77842003853564,90.5587668593449
seds-continuation-control-001,PH,dev,adapted_SEDS,42,0,rgb,73.60308285163777,93.0635838150289,96.14643545279384,73.98843930635837,93.0635838150289,95.76107899807322
seds-continuation-control-001,PH,dev,adapted_SEDS,42,111,fusion,68.78612716763006,89.01734104046243,93.64161849710982,68.78612716763006,89.21001926782274,93.44894026974951
seds-continuation-control-001,PH,dev,adapted_SEDS,42,111,pose,50.28901734104046,75.91522157996147,84.58574181117534,46.628131021194605,77.64932562620423,84.97109826589595
seds-continuation-control-001,PH,dev,adapted_SEDS,42,111,rgb,61.849710982658955,86.51252408477842,91.90751445086705,60.115606936416185,84.77842003853564,89.21001926782274
seds-continuation-control-001,PH,dev,adapted_SEDS,42,222,fusion,71.09826589595376,92.29287090558766,94.99036608863199,72.63969171483622,92.29287090558766,94.79768786127167
seds-continuation-control-001,PH,dev,adapted_SEDS,42,222,pose,56.64739884393064,84.77842003853564,90.17341040462428,57.61078998073218,83.04431599229287,89.21001926782274
seds-continuation-control-001,PH,dev,adapted_SEDS,42,222,rgb,66.66666666666666,89.01734104046243,93.44894026974951,66.08863198458575,89.21001926782274,93.64161849710982
seds-moment-control-001,PH,dev,adapted_SEDS,42,0,fusion,76.49325626204238,92.8709055876686,96.14643545279384,78.61271676300578,93.0635838150289,95.37572254335261
seds-moment-control-001,PH,dev,adapted_SEDS,42,0,pose,61.078998073217726,86.51252408477842,91.71483622350675,59.92292870905588,84.77842003853564,90.5587668593449
seds-moment-control-001,PH,dev,adapted_SEDS,42,0,rgb,73.60308285163777,93.0635838150289,96.14643545279384,73.98843930635837,93.0635838150289,95.76107899807322
seds-moment-control-001,PH,dev,adapted_SEDS,42,111,fusion,76.49325626204238,91.90751445086705,96.33911368015414,78.80539499036608,93.44894026974951,95.56840077071291
seds-moment-control-001,PH,dev,adapted_SEDS,42,111,pose,60.5009633911368,84.58574181117534,89.78805394990366,57.80346820809249,83.42967244701349,90.17341040462428
seds-moment-control-001,PH,dev,adapted_SEDS,42,111,rgb,73.02504816955684,92.29287090558766,95.76107899807322,73.60308285163777,92.8709055876686,95.56840077071291
seds-moment-control-001,PH,dev,adapted_SEDS,42,222,fusion,76.6859344894027,92.8709055876686,96.53179190751445,77.64932562620423,93.44894026974951,95.76107899807322
seds-moment-control-001,PH,dev,adapted_SEDS,42,222,pose,62.042389210019266,85.16377649325626,91.32947976878613,59.92292870905588,86.51252408477842,91.90751445086705
seds-moment-control-001,PH,dev,adapted_SEDS,42,222,rgb,73.41040462427746,92.48554913294798,95.76107899807322,73.79576107899807,92.67822736030828,95.76107899807322
