paper,version,dataset,split,evidence,T2V_R1,T2V_R5,T2V_R10,V2T_R1,V2T_R5,V2T_R10,table,source,comparability
SA_CM,v2,H2S,test,AUTHOR_CLAIM,24.7,39.6,46.0,17.9,40.8,46.6,6,https://arxiv.org/pdf/2201.02495,SPOT_ALIGN_backbone_and_frozen_GroVLE_crossmodal_head
SA_SR_CM,v2,H2S,test,AUTHOR_CLAIM,32.8,47.7,52.9,23.3,48.5,53.7,6,https://arxiv.org/pdf/2201.02495,recognition_IoU_plus_crossmodal_score_ensemble
SA_CM,v2,PH,test,AUTHOR_CLAIM,48.6,76.5,84.6,50.3,78.4,84.4,7,https://arxiv.org/pdf/2201.02495,SLT_feature_backbone_and_German_GPT2
SA_combination,v2,PH,test,AUTHOR_CLAIM,55.8,79.6,87.2,53.1,79.4,86.1,7,https://arxiv.org/pdf/2201.02495,SLT_text_IoU_plus_crossmodal_score_ensemble
CiCo,v1,PH,test,AUTHOR_CLAIM,69.5,86.6,92.1,70.2,88.0,92.8,2,https://arxiv.org/pdf/2303.12793v1,target_domain_adaptation_differs_from_local_H2S_transfer
CiCo,v1,CSL,test,AUTHOR_CLAIM,75.3,88.2,91.9,74.7,89.4,92.2,3,https://arxiv.org/pdf/2303.12793v1,pending_full_resource_protocol_lock
CiCo,v1,H2S,test,AUTHOR_CLAIM,56.6,69.9,74.7,51.6,64.8,70.1,1,https://arxiv.org/pdf/2303.12793v1,pending_full_resource_protocol_lock
SEDS,v1,PH,test,AUTHOR_CLAIM,76.8,91.7,95.3,78.7,92.5,95.2,2,https://arxiv.org/html/2407.16394v1,pending_full_resource_protocol_lock
SEDS,v1,CSL,test,AUTHOR_CLAIM,85.8,94.4,95.6,85.4,93.8,95.8,3,https://arxiv.org/html/2407.16394v1,pending_full_resource_protocol_lock
SEDS,v1,H2S,test,AUTHOR_CLAIM,62.5,75.1,80.1,57.9,70.4,74.9,1,https://arxiv.org/html/2407.16394v1,pending_full_resource_protocol_lock
UPRet,v1,PH,test,AUTHOR_CLAIM,72.0,89.1,94.1,72.0,89.4,93.3,2,https://arxiv.org/html/2405.19689v1,pending_full_resource_protocol_lock
UPRet,v1,CSL,test,AUTHOR_CLAIM,78.4,89.1,92.0,77.0,89.2,92.7,3,https://arxiv.org/html/2405.19689v1,pending_full_resource_protocol_lock
UPRet,v1,H2S,test,AUTHOR_CLAIM,59.1,71.5,75.7,53.4,65.4,70.0,1,https://arxiv.org/html/2405.19689v1,pending_full_resource_protocol_lock
C2RL,v1,PH,test,AUTHOR_CLAIM,78.7,92.2,94.9,77.6,91.3,94.2,VI,https://arxiv.org/html/2408.09949v1,different_representation_pretraining
C2RL,v1,CSL,test,AUTHOR_CLAIM,90.3,96.4,97.7,88.4,95.7,97.1,VI,https://arxiv.org/html/2408.09949v1,different_representation_pretraining
C2RL,v1,H2S,test,AUTHOR_CLAIM,62.4,75.9,80.1,57.5,68.4,73.0,VI,https://arxiv.org/html/2408.09949v1,different_representation_pretraining
C2RL,v1,OpenASL,test,AUTHOR_CLAIM,62.2,81.7,86.8,61.6,79.8,84.6,VI,https://arxiv.org/html/2408.09949v1,table_T2V_R1_62.2_conflicts_with_prose_62.6_unresolved
SAN_CiCo_coarse,v1,PH,test,AUTHOR_CLAIM,68.1,87.4,91.7,67.8,87.4,91.7,1,https://arxiv.org/html/2607.09263v1,different_mining_training_regime
Scaling_SL15M,v1,PH,test,AUTHOR_CLAIM,74.5,93.3,95.6,75.1,92.1,95.3,X,https://arxiv.org/html/2408.08544v1,large_scale_multilingual_pose_pretraining_split_exclusions_unverified
Scaling_SL15M,v1,CSL,test,AUTHOR_CLAIM,87.5,95.2,97.6,87.2,95.0,97.2,X,https://arxiv.org/html/2408.08544v1,large_scale_multilingual_pose_pretraining_split_exclusions_unverified
CSLR2,v1,BOBSL,Sent-Test,AUTHOR_CLAIM,29.4,45.2,51.5,28.1,44.9,51.0,A.8,https://arxiv.org/html/2405.10266v1,different_dataset_20K_gallery_joint_sign_sentence_retrieval
VAP_encoder,ECCV2024,PH,test,AUTHOR_CLAIM,62.2,84.1,90.7,69.8,89.7,94.4,6,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/05894.pdf,skeleton_CoSign1s_mBART_contextual_encoder_translation_pretraining_gallery_policy_unverified
VAP_embedding,ECCV2024,PH,test,AUTHOR_CLAIM,66.4,87.7,93.0,56.9,81.8,89.4,6,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/05894.pdf,skeleton_CoSign1s_frozen_mBART_embeddings_translation_pretraining_gallery_policy_unverified
